IE_XML_ID;IE_NAME;IE_PREVIEW_TEXT;IE_DETAIL_TEXT;IP_PROP66;IP_PROP32;IP_PROP33;IP_PROP36;IP_PROP37;IP_PROP67;IC_GROUP0;IC_GROUP1;IC_GROUP2;CR_PRICE_1_USD
447;Хрустящие куриные крылышки;300 / 30 г;;;449;;/upload/iblock/6ef/6ef89eb924008186a2192888cb29d7fe.jpg;;;;;;5.01
448;Хрустящие куриные крылышки;300 / 30 г;;;449;;/upload/iblock/92d/92de406048941ef232bd395862b0ad0e.jpg;;;;;;5.01
533; Морс;;;;414;;;;;;;;1.47
534; Морс;;;;414;;;;;;;;2.93
535; Морс;;;;414;;;;;;;;1.47
536; Морс;;;;414;;;;;;;;2.93
537; Морс;;;;414;;;;;;;;1.47
538; Морс;;;;414;;;;;;;;2.93
539; Морс;;;;414;;;;;;;;1.47
540; Морс;;;;414;;;;;;;;2.93
541; Сок 1 л;;;;411;;;;;;;;3.7
542; Сок 1 л;;;;411;;;;;;;;3.7
543; Сок 1 л;;;;411;;;;;;;;3.7
544; Сок 1 л;;;;411;;;;;;;;3.7
545; Сок 1 л;;;;411;;;;;;;;3.7
546; Лимонад 1 л;;;;415;;;;;;;;6.17
547; Лимонад 1 л;;;;415;;;;;;;;6.17
548; Лимонад 1 л;;;;415;;;;;;;;6.17
549; Лимонад 1 л;;;;415;;;;;;;;6.17
550; Лимонад 1 л;;;;415;;;;;;;;6.17
588; Цезарь;;;;445;;/upload/iblock/94e/94e4a5747d0bdb9bbfcdb1110e596471.jpg;;;;;;5.63
589; Цезарь;;;;445;;/upload/iblock/8b5/8b5db0a4d030a2d39433524fa90157e8.jpg;;;;;;6.56
